Text,Location,Source,Timestamp,Category,pre_reason,cluster,final_category,is_wrong,error_reason,predicted_category,correct
"Hailstorm damaging crops and vehicles in Katpadi, Vellore.","Katpadi, Vellore",The Hindu,2023-01-31T07:30:13Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Thunderstorm with lightning strikes in Munnar, Kerala.","Munnar, Kerala",Weather Dept,2023-11-25T01:15:09Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Multiple climate events including cold_wave affecting Munnar, Kerala with severe impact.","Munnar, Kerala",NDTV News,2025-01-09T01:37:20Z,COLD_WAVE,Indicates cold wave conditions,9,FLOODS,True,Cold wave merged into general extreme weather cluster,FLOODS,False
"Air quality dropped to hazardous levels in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",District Collector Office,2025-05-12T10:19:34Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Landslides triggered due to rainfall in Kochi, Kerala.","Kochi, Kerala",IMD Bulletin,2025-01-12T04:50:29Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Thunderstorm with lightning strikes in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",The Hindu,2023-04-01T21:13:26Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Multiple climate events including floods affecting Anantapur, Andhra Pradesh with severe impact.","Anantapur, Andhra Pradesh",IMD Bulletin,2024-09-12T19:31:39Z,FLOODS,Indicates rainfall or water overflow event,9,FLOODS,False,Correctly clustered,FLOODS,True
"Wildfire spreading rapidly in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",NDTV News,2025-07-11T15:52:31Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Thunderstorm with lightning strikes in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",Local News,2025-10-24T05:41:42Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Multiple climate events including drought affecting Pune, Maharashtra with severe impact.","Pune, Maharashtra",IMD Bulletin,2025-10-14T10:57:54Z,DROUGHT,Indicates water scarcity,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Hailstorm damaging crops and vehicles in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",District Collector Office,2023-06-15T05:26:59Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Air quality dropped to hazardous levels in Kolkata, West Bengal.","Kolkata, West Bengal",NDTV News,2023-11-03T04:06:40Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Extreme heatwave conditions observed in Kochi, Kerala.","Kochi, Kerala",IMD Bulletin,2024-01-27T12:41:42Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Air quality dropped to hazardous levels in Pune, Maharashtra.","Pune, Maharashtra",The Hindu,2024-07-16T05:13:30Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Hailstorm damaging crops and vehicles in Delhi, NCR.","Delhi, NCR",IMD Bulletin,2024-06-30T16:35:34Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Landslides triggered due to rainfall in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Local News,2023-12-23T06:24:40Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Thunderstorm with lightning strikes in Warangal, Telangana.","Warangal, Telangana",NDTV News,2023-01-11T19:50:14Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Heavy rainfall has caused flooding in Hyderabad, Telangana.","Hyderabad, Telangana",NDTV News,2024-06-20T16:18:47Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Air quality dropped to hazardous levels in Kolkata, West Bengal.","Kolkata, West Bengal",IMD Bulletin,2025-10-12T08:47:21Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Cold wave with very low temperatures in Bengaluru, Karnataka.","Bengaluru, Karnataka",District Collector Office,2025-10-20T02:17:07Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Cyclone causing strong winds and rain in Munnar, Kerala.","Munnar, Kerala",Local News,2025-04-01T04:56:34Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Air quality dropped to hazardous levels in Jaipur, Rajasthan.","Jaipur, Rajasthan",District Collector Office,2025-03-05T17:50:11Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Multiple climate events including cyclone affecting Jaipur, Rajasthan with severe impact.","Jaipur, Rajasthan",The Hindu,2025-04-30T01:17:09Z,CYCLONE,General climate event,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Multiple climate events including floods affecting Kochi, Kerala with severe impact.","Kochi, Kerala",District Collector Office,2024-12-17T03:22:36Z,FLOODS,Indicates rainfall or water overflow event,9,FLOODS,False,Correctly clustered,FLOODS,True
"Cyclone causing strong winds and rain in Madurai, Tamil Nadu.","Madurai, Tamil Nadu",District Collector Office,2025-09-20T05:04:18Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Thunderstorm with lightning strikes in Pune, Maharashtra.","Pune, Maharashtra",Weather Dept,2025-07-04T12:29:47Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Landslides triggered due to rainfall in Kochi, Kerala.","Kochi, Kerala",The Hindu,2025-11-30T19:03:21Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Cyclone causing strong winds and rain in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",NDTV News,2024-02-05T23:23:46Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Hailstorm damaging crops and vehicles in Kolkata, West Bengal.","Kolkata, West Bengal",Weather Dept,2023-02-21T04:14:13Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Landslides triggered due to rainfall in Pune, Maharashtra.","Pune, Maharashtra",Weather Dept,2024-08-15T03:14:31Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Heavy rainfall has caused flooding in Guwahati, Assam.","Guwahati, Assam",District Collector Office,2023-08-05T10:23:39Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Cyclone causing strong winds and rain in Munnar, Kerala.","Munnar, Kerala",IMD Bulletin,2025-03-31T06:59:22Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Wildfire spreading rapidly in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Twitter,2025-05-23T07:33:44Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Extreme heatwave conditions observed in Mysuru, Karnataka.","Mysuru, Karnataka",The Hindu,2025-12-05T15:25:07Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Thunderstorm with lightning strikes in Jaipur, Rajasthan.","Jaipur, Rajasthan",IMD Bulletin,2025-01-16T04:13:14Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
